MONTH,REPO_DIR,FILE_NAME,HARD_CODE_SECR,EMPT_PASS,HTTP_USAG,BIND_USAG,SUSP_COMM,INTE_CHCK,HARD_CODE_UNAME,HARD_CODE_PASS,TOTAL
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/events.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/smoke.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/mini-mon.yml,10, 0, 0, 0, 0, 0, 5, 5, 20
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/mkdocs.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/ds-build,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/ds-build/ds-build.yml,1, 0, 0, 0, 0, 0, 1, 0, 2
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/ds-build/roles/devstack-build/defaults,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/ds-build/roles/devstack-build/defaults/main.yml,1, 0, 0, 0, 0, 0, 1, 0, 2
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/ds-build/roles/devstack-build/tasks,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/ds-build/roles/devstack-build/tasks/main.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/roles/monasca-devstack/handlers,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/roles/monasca-devstack/handlers/main.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/roles/monasca-devstack/defaults,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/roles/monasca-devstack/defaults/main.yml,4, 0, 0, 0, 0, 0, 2, 2, 8
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/roles/monasca-devstack/tasks,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/roles/monasca-devstack/tasks/main.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
2019-7,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/roles/monasca-devstack/vars,/home/brokenquark/Workspace/SLIC-Ansible (copy)/repo-openstack/openstack@monasca-vagrant/roles/monasca-devstack/vars/main.yml,0, 0, 0, 0, 0, 0, 0, 0, 0
