MONTH,FILE_NAME,HARD_CODE_SECR,EMPT_PASS,HTTP_USAG,BIND_USAG,SUSP_COMM,INTE_CHCK,TOTAL
2019-03-09 02:04:16.393154, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/analytics-api/defaults/main.yml,7,1,0,0,0,0,8
2019-03-09 02:04:16.436197, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/ora/defaults/main.yml,13,0,0,0,0,0,13
2019-03-09 02:04:16.466892, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/redis/defaults/main.yml,1,1,0,0,0,0,2
2019-03-09 02:04:16.474624, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/elasticsearch/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:16.507416, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/flower/defaults/main.yml,3,0,0,1,0,0,4
2019-03-09 02:04:16.519312, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/gh_mirror/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:16.535012, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/analytics/defaults/main.yml,8,0,0,0,0,0,8
2019-03-09 02:04:16.559161, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/devpi/defaults/main.yml,2,0,0,0,0,0,2
2019-03-09 02:04:16.591904, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/user/defaults/main.yml,0,0,0,0,1,0,1
2019-03-09 02:04:16.621999, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/alton/defaults/main.yml,4,0,0,0,0,0,4
2019-03-09 02:04:16.659172, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/gluster/tasks/main.yml,0,0,0,0,1,0,1
2019-03-09 02:04:16.670250, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/certs/defaults/main.yml,10,0,0,0,0,0,10
2019-03-09 02:04:16.697330, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/demo/defaults/main.yml,6,0,0,0,0,0,6
2019-03-09 02:04:16.707498, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/oraclejdk/defaults/main.yml,0,0,1,0,0,0,1
2019-03-09 02:04:16.719164, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/splunkforwarder/defaults/main.yml,0,1,0,0,0,0,1
2019-03-09 02:04:16.728850, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/splunkforwarder/tasks/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:16.744908, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/notifier/defaults/main.yml,2,2,0,0,0,0,4
2019-03-09 02:04:16.773303, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/edx_ansible/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:16.797189, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/snort/defaults/main.yml,0,0,2,0,0,1,3
2019-03-09 02:04:16.863395, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/s3fs/defaults/main.yml,0,0,1,0,0,0,1
2019-03-09 02:04:16.876050, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/mongo/defaults/main.yml,5,0,1,0,0,0,6
2019-03-09 02:04:16.994755, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/edxapp/defaults/main.yml,94,2,4,0,1,0,101
2019-03-09 02:04:17.064287, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/edxapp/tasks/deploy.yml,0,0,0,0,3,0,3
2019-03-09 02:04:17.130363, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/rabbitmq/defaults/main.yml,5,0,2,0,0,1,8
2019-03-09 02:04:17.147589, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/rabbitmq/tasks/main.yml,1,0,0,0,1,0,2
2019-03-09 02:04:17.159202, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/analytics-server/defaults/main.yml,8,0,0,0,0,0,8
2019-03-09 02:04:17.189242, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/supervisor/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:17.207957, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/browsers/defaults/main.yml,0,0,1,0,0,1,2
2019-03-09 02:04:17.216442, /home/brokenquark/repo-ansi/LearnEra@LearnEra-Configuration/playbooks/roles/nltk/defaults/main.yml,0,0,3,0,0,3,6
